Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Short,Middle,Long,Buy,Sell,Stocks_To_Buy,Stocks_To_Sell,Current_Assets,Value,Profits,Total
2010-01-04,BHARTIARTL,EQ,329.75,329.85,332.1,323.85,325.25,325.2,326.93,2952340,96520886835000.0,,1281792,0.43420000000000003,325.2,325.2,325.2,,,0,0,0,0.0,0.0,0.0
2010-01-05,BHARTIARTL,EQ,325.2,328.25,332.0,325.5,330.65,330.35,329.36,4302024,141692385460000.0,,1574502,0.36600000000000005,326.9166666666667,325.69047619047615,325.36885245901635,330.35,,302,0,302,99765.70000000001,-99765.70000000001,0.0
2010-01-06,BHARTIARTL,EQ,330.35,332.95,335.15,326.1,326.9,326.85,331.24,4409919,146075618040000.0,,1965213,0.44560000000000005,326.8944444444445,325.8009070294784,325.41741467347487,,,0,0,302,98708.70000000001,0.0,-1057.0
2010-01-07,BHARTIARTL,EQ,326.85,328.35,334.0,328.0,329.0,329.4,330.91,3868937,128026997259999.98,,1692143,0.4374,327.7296296296297,326.1436777885757,325.54799124155767,,,0,0,302,99478.79999999999,0.0,-286.9000000000233
2010-01-08,BHARTIARTL,EQ,329.4,329.75,331.45,324.65,325.45,325.05,328.09,2655707,87130920600000.0,,1349311,0.5081,326.8364197530865,326.0395179991875,325.53166365986726,,,0,0,302,98165.1,0.0,-1600.6000000000058
2010-01-11,BHARTIARTL,EQ,325.05,331.0,331.0,325.5,330.0,328.95,327.7,3143217,103001997410000.0,,1568775,0.4991,327.5409465020577,326.31670676116966,325.6437402611831,,,0,0,302,99342.9,0.0,-422.80000000001746
2010-01-12,BHARTIARTL,EQ,328.95,330.1,333.9,320.4,322.5,322.25,328.79,6507716,213965874305000.0,,2687901,0.413,325.7772976680385,325.929401355344,325.5324700886853,,,0,0,302,97319.5,0.0,-2446.2000000000116
2010-01-13,BHARTIARTL,EQ,322.25,321.5,321.95,315.25,317.9,318.4,318.58,4299714,136978430755000.0,,2218520,0.516,323.31819844535903,325.2123155119779,325.2986186103677,,,0,0,302,96156.79999999999,0.0,-3608.9000000000233
2010-01-14,BHARTIARTL,EQ,318.4,319.2,322.6,317.2,317.95,318.05,319.19,3920034,125124414890000.02,,2232417,0.5695,321.56213229690604,324.53019022512285,325.0609589837983,,,0,0,302,96051.1,0.0,-3714.600000000006
2010-01-15,BHARTIARTL,EQ,318.05,318.0,322.5,316.0,317.6,317.4,318.68,4407407,140457290209999.98,,2398437,0.5442,320.17475486460404,323.85112448939685,324.8097800007229,,,0,0,302,95854.79999999999,0.0,-3910.9000000000233
2010-01-18,BHARTIARTL,EQ,317.4,317.0,322.7,316.15,320.75,320.7,320.74,3918998,125698533395000.0,,2504318,0.639,320.3498365764027,323.55101739516857,324.6750331154533,,,0,0,302,96851.4,0.0,-2914.3000000000175
2010-01-19,BHARTIARTL,EQ,320.7,321.0,325.8,318.1,319.5,320.55,321.83,3884885,125028982409999.98,,1957133,0.5038,320.4165577176018,323.2652062146763,324.5397861280614,,,0,0,302,96806.1,0.0,-2959.600000000006
2010-01-20,BHARTIARTL,EQ,320.55,321.55,332.3,321.55,331.05,331.5,329.56,9116756,300452776360000.0,,5098544,0.5592,324.1110384784012,324.049472289469,324.76798986156757,,,0,0,302,100113.0,0.0,347.29999999998836
2010-01-21,BHARTIARTL,EQ,331.5,330.0,333.0,321.2,322.0,322.4,327.26,3955328,129440445109999.98,,1440292,0.3641,323.54069231893413,323.89237969047196,324.6903508497129,,,0,0,302,97364.79999999999,0.0,-2400.9000000000233
2010-01-22,BHARTIARTL,EQ,322.4,318.7,330.0,315.0,323.3,322.15,322.71,8696121,280631252819999.97,,2780179,0.3197,323.07712821262277,323.72643876756985,324.607060657919,,,0,0,302,97289.29999999999,0.0,-2476.4000000000233
2010-01-25,BHARTIARTL,EQ,322.15,322.15,331.75,318.4,331.0,330.9,326.58,5398902,176317908055000.0,,2673389,0.49520000000000003,325.6847521417485,324.40963507542034,324.81338653798724,,,0,0,302,99931.79999999999,0.0,166.09999999997672
2010-01-27,BHARTIARTL,EQ,330.9,329.5,331.8,320.0,322.0,322.9,326.32,5044367,164607126185000.0,,2245854,0.44520000000000004,324.75650142783235,324.26586030633274,324.7506525531352,,,0,0,302,97515.79999999999,0.0,-2249.9000000000233
2010-01-28,BHARTIARTL,EQ,322.9,324.0,327.85,311.0,314.0,313.65,316.74,7620843,241380706315000.0,,4181735,0.5487,321.05433428522156,323.2548259914439,324.38669673172086,,,0,0,302,94722.29999999999,0.0,-5043.400000000023
2010-01-29,BHARTIARTL,EQ,313.65,311.0,313.9,304.15,307.0,306.4,307.41,6845712,210444279645000.0,,3532865,0.5161,316.1695561901477,321.64960446844924,323.7969689700251,,,0,0,302,92532.79999999999,0.0,-7232.900000000023
2010-02-01,BHARTIARTL,EQ,306.4,305.0,313.7,305.0,309.0,311.2,309.96,3865282,119809547470000.0,,1579695,0.4087,314.5130374600985,320.6544040428826,323.3839535939587,,,0,0,302,93982.4,0.0,-5783.3000000000175
